preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
Tennis is a,sport.,tennis,none,sport,4,"[-7.86036491394043, -7.150885581970215, -7.559816360473633, -6.730541229248047, -5.994319915771484, -6.649919509887695, -6.290292739868164, -7.439470291137695, -8.019448280334473, -6.395079612731934, -7.284521102905273, -7.115665435791016, -8.258718490600586, -7.312673568725586, -8.31488037109375, -7.460070610046387, -9.650237083435059, -6.0864763259887695, -9.632353782653809, -8.122626304626465, -9.935216903686523, -9.8445463180542, -7.470357894897461, -9.986030578613281, -8.12946891784668, -9.219344139099121, -6.740549087524414, -7.3934125900268555, -9.685203552246094, -7.569875717163086, -8.191941261291504, -7.908895492553711, -8.247953414916992, -7.980664253234863, -6.547752380371094, -7.072011947631836, -7.514338493347168, -5.537213325500488, -8.065430641174316, -8.169095039367676, -7.696501731872559, -7.105897903442383, -9.983968734741211, -7.129682540893555, -6.796657562255859, -5.744159698486328, -7.275971412658691, -9.22878360748291, -9.167492866516113, -10.663317680358887]",7241732096,mistralai_Mistral-7B-v0.1
Softball is a,sport.,softball,none,sport,5,"[-10.69589614868164, -10.358591079711914, -11.212631225585938, -8.446035385131836, -11.86652946472168, -8.801335334777832, -7.725153923034668, -8.24605655670166, -10.410198211669922, -9.97593879699707, -7.654263496398926, -8.77429485321045, -10.014019012451172, -9.94911003112793, -9.367118835449219, -7.602124214172363, -9.303841590881348, -6.392007827758789, -7.8608503341674805, -9.955256462097168, -9.388794898986816, -10.22010612487793, -6.733219146728516, -10.478727340698242, -9.75593376159668, -10.489476203918457, -8.179937362670898, -8.172229766845703, -9.618141174316406, -8.675917625427246, -8.552398681640625, -10.881858825683594, -9.698333740234375, -9.594844818115234, -8.47389030456543, -9.197254180908203, -8.27685260772705, -8.620046615600586, -9.499673843383789, -9.651260375976562, -8.355552673339844, -7.988512992858887, -8.228392601013184, -6.906271934509277, -10.270334243774414, -8.89272689819336, -8.54100227355957, -7.710783004760742, -9.314380645751953, -10.439008712768555]",7241732096,mistralai_Mistral-7B-v0.1
Canoeing is a,sport.,canoeing,none,sport,6,"[-12.441120147705078, -10.791181564331055, -12.992084503173828, -13.191568374633789, -13.542608261108398, -12.304243087768555, -13.581963539123535, -13.188441276550293, -13.369641304016113, -13.662732124328613, -14.298341751098633, -13.467535018920898, -13.269804000854492, -13.521900177001953, -12.592889785766602, -13.061182975769043, -13.629204750061035, -12.289443969726562, -13.804007530212402, -13.645313262939453, -13.4161958694458, -9.861886978149414, -10.970588684082031, -11.10280990600586, -13.785304069519043, -13.966883659362793, -14.042940139770508, -13.894570350646973, -13.0648193359375, -13.463687896728516, -13.946501731872559, -12.946374893188477, -13.44670581817627, -11.564064979553223, -14.159571647644043, -13.659953117370605, -9.660694122314453, -12.978139877319336, -14.017693519592285, -13.401640892028809, -13.661850929260254, -12.806547164916992, -13.451258659362793, -13.251164436340332, -13.406895637512207, -12.244661331176758, -13.56579303741455, -13.856501579284668, -13.328892707824707, -10.178792953491211]",7241732096,mistralai_Mistral-7B-v0.1
Handball is a,sport.,handball,none,sport,7,"[-8.060816764831543, -7.4567365646362305, -9.83851432800293, -3.50211238861084, -8.393014907836914, -9.026344299316406, -8.083059310913086, -10.157817840576172, -9.140185356140137, -10.091925621032715, -8.19152545928955, -8.966614723205566, -9.075674057006836, -11.304973602294922, -8.525910377502441, -10.124393463134766, -6.504787445068359, -7.83836555480957, -10.448622703552246, -8.076715469360352, -9.541524887084961, -8.455528259277344, -10.782556533813477, -10.79062271118164, -9.791635513305664, -8.576401710510254, -8.800349235534668, -9.940828323364258, -8.210277557373047, -9.990974426269531, -6.777773857116699, -9.59878158569336, -9.413122177124023, -7.584683418273926, -10.074018478393555, -9.134450912475586, -9.646221160888672, -9.236353874206543, -7.710554122924805, -9.61318588256836, -10.201600074768066, -7.589746475219727, -6.309693336486816, -6.302427291870117, -10.400978088378906, -7.847248077392578, -9.741912841796875, -8.483609199523926, -7.703752517700195, -10.625450134277344]",7241732096,mistralai_Mistral-7B-v0.1
Rugby is a,sport.,rugby,none,sport,8,"[-9.213262557983398, -7.2621002197265625, -7.92283821105957, -8.572555541992188, -8.147539138793945, -8.474809646606445, -8.419740676879883, -7.484928131103516, -8.08008861541748, -7.53053092956543, -8.443525314331055, -6.725238800048828, -9.10294246673584, -9.219267845153809, -7.47108268737793, -7.257423400878906, -8.399206161499023, -8.66032600402832, -6.556034088134766, -8.101317405700684, -7.42332649230957, -8.334113121032715, -7.957649230957031, -7.743995666503906, -8.399649620056152, -7.065847396850586, -7.696929931640625, -7.682316780090332, -7.6257429122924805, -7.832942962646484, -7.832772254943848, -9.447762489318848, -8.165910720825195, -6.626873016357422, -7.885677337646484, -8.06125545501709, -9.29416275024414, -9.063855171203613, -7.474387168884277, -9.370309829711914, -7.251323699951172, -7.617408752441406, -8.919700622558594, -6.1230926513671875, -8.887739181518555, -7.606410980224609, -6.627711296081543, -9.368000030517578, -7.574214935302734, -6.699963569641113]",7241732096,mistralai_Mistral-7B-v0.1
Hockey is a,sport.,hockey,none,sport,9,"[-9.894290924072266, -6.725757598876953, -8.573587417602539, -7.5702104568481445, -10.274799346923828, -8.551443099975586, -8.274585723876953, -6.928152084350586, -9.812278747558594, -10.830866813659668, -7.787731170654297, -9.372533798217773, -6.965776443481445, -9.842195510864258, -7.050320625305176, -9.727766990661621, -9.917461395263672, -8.691006660461426, -9.217365264892578, -10.104621887207031, -9.841902732849121, -7.492527008056641, -7.60836124420166, -8.529664993286133, -9.010257720947266, -9.08500862121582, -9.79619312286377, -7.640447616577148, -10.251605987548828, -8.853235244750977, -8.737098693847656, -7.200596809387207, -8.157059669494629, -9.474859237670898, -10.693799018859863, -9.064592361450195, -9.63693618774414, -10.606181144714355, -7.520132064819336, -10.079961776733398, -7.052345275878906, -8.719088554382324, -10.861038208007812, -10.754002571105957, -9.148468017578125, -9.47093391418457, -9.843079566955566, -8.674997329711914, -7.559947967529297, -8.071435928344727]",7241732096,mistralai_Mistral-7B-v0.1
Ice hockey is a,sport.,ice hockey,none,sport,10,"[-6.970554351806641, -8.260259628295898, -9.993365287780762, -8.894214630126953, -7.48469352722168, -7.439304351806641, -11.391732215881348, -6.61900520324707, -8.85973834991455, -11.532045364379883, -9.526594161987305, -9.651589393615723, -7.726595878601074, -9.041975975036621, -10.103809356689453, -9.489495277404785, -10.491141319274902, -8.888221740722656, -7.648053169250488, -7.085432052612305, -9.432754516601562, -7.9154510498046875, -6.870282173156738, -8.493250846862793, -8.992439270019531, -8.282990455627441, -8.564371109008789, -7.007678031921387, -8.941123008728027, -9.147970199584961, -10.878787994384766, -8.776570320129395, -9.204588890075684, -7.455423355102539, -8.146306037902832, -10.449179649353027, -8.274991035461426, -6.539363861083984, -9.803559303283691, -9.782877922058105, -7.241359710693359, -9.981823921203613, -9.781291961669922, -8.638127326965332, -8.516939163208008, -8.398436546325684, -10.333770751953125, -8.002140998840332, -7.659074783325195, -8.619037628173828]",7241732096,mistralai_Mistral-7B-v0.1
Swimming is a,sport.,swimming,none,sport,11,"[-12.412677764892578, -13.313398361206055, -13.538961410522461, -13.60959529876709, -13.740598678588867, -13.549786567687988, -12.962984085083008, -13.299869537353516, -13.006938934326172, -13.982882499694824, -13.065315246582031, -13.06826114654541, -10.035991668701172, -10.081548690795898, -13.207965850830078, -13.249863624572754, -13.320809364318848, -13.300148963928223, -13.663973808288574, -14.22227668762207, -13.347572326660156, -12.008206367492676, -13.08591079711914, -13.570404052734375, -13.951589584350586, -13.344413757324219, -12.768946647644043, -13.5838623046875, -13.094141006469727, -10.425594329833984, -13.825333595275879, -14.204277992248535, -13.526402473449707, -13.100886344909668, -13.124032974243164, -9.808141708374023, -13.681543350219727, -12.572453498840332, -13.280366897583008, -11.704854965209961, -13.542391777038574, -13.002717018127441, -12.715874671936035, -13.470699310302734, -9.993180274963379, -12.361242294311523, -12.833761215209961, -12.397900581359863, -10.208276748657227, -11.762907028198242]",7241732096,mistralai_Mistral-7B-v0.1
Track is a,sport.,track,none,sport,12,"[-10.254915237426758, -8.91039752960205, -7.260175704956055, -9.368950843811035, -8.825738906860352, -10.086372375488281, -9.233585357666016, -9.624852180480957, -8.846531867980957, -10.100748062133789, -7.65117073059082, -9.429084777832031, -7.449980735778809, -9.425145149230957, -9.933771133422852, -8.272089004516602, -11.358403205871582, -8.729352951049805, -10.940876007080078, -8.268664360046387, -8.879287719726562, -7.250699996948242, -9.80833911895752, -10.211947441101074, -7.528337478637695, -7.000574111938477, -9.200311660766602, -9.81998348236084, -8.300464630126953, -8.11053466796875, -7.710451126098633, -7.551484107971191, -7.895259857177734, -6.502298355102539, -8.739164352416992, -9.369061470031738, -8.972911834716797, -10.375833511352539, -7.59006404876709, -9.277244567871094, -7.080767631530762, -9.5582914352417, -8.745944023132324, -9.256552696228027, -8.6176118850708, -7.4388227462768555, -9.647705078125, -9.234292984008789, -7.634531021118164, -8.609197616577148]",7241732096,mistralai_Mistral-7B-v0.1
Boxing is a,sport.,boxing,none,sport,13,"[-7.024089813232422, -8.827325820922852, -6.993791580200195, -9.985185623168945, -9.498001098632812, -6.5428009033203125, -6.449748992919922, -8.018831253051758, -8.34088134765625, -9.912270545959473, -8.76218032836914, -10.809940338134766, -6.135627746582031, -6.486814498901367, -9.202865600585938, -7.891290664672852, -8.699874877929688, -10.54771900177002, -9.430464744567871, -6.844892501831055, -9.63694953918457, -9.831354141235352, -9.71799087524414, -8.111706733703613, -8.148226737976074, -9.226253509521484, -9.521028518676758, -10.630134582519531, -9.954986572265625, -7.987224578857422, -10.06937026977539, -7.706096649169922, -9.074675559997559, -8.592866897583008, -9.917487144470215, -10.391380310058594, -9.638650894165039, -9.830723762512207, -7.922355651855469, -7.170475959777832, -8.669072151184082, -9.41748046875, -9.369043350219727, -9.46756362915039, -6.539355278015137, -9.429525375366211, -7.187248229980469, -9.283173561096191, -8.573800086975098, -9.256260871887207]",7241732096,mistralai_Mistral-7B-v0.1
Volleyball is a,sport.,volleyball,none,sport,14,"[-13.300382614135742, -13.538740158081055, -13.561269760131836, -13.09237003326416, -13.68864917755127, -10.091876983642578, -13.271085739135742, -12.880305290222168, -12.897697448730469, -12.457279205322266, -12.025226593017578, -12.957764625549316, -11.811561584472656, -13.889532089233398, -13.375192642211914, -10.779983520507812, -13.476312637329102, -13.653705596923828, -13.679920196533203, -13.908305168151855, -13.612237930297852, -13.465876579284668, -13.312862396240234, -13.513526916503906, -9.717081069946289, -12.922619819641113, -11.802268028259277, -12.88063907623291, -12.069141387939453, -13.769449234008789, -12.835123062133789, -14.897546768188477, -12.789972305297852, -13.08748722076416, -13.5866060256958, -13.139760971069336, -12.810081481933594, -12.885796546936035, -13.350889205932617, -13.344964027404785, -12.257515907287598, -12.837430000305176, -13.260805130004883, -13.06092357635498, -12.890549659729004, -12.115402221679688, -9.81887435913086, -10.08139419555664, -10.773816108703613, -13.334729194641113]",7241732096,mistralai_Mistral-7B-v0.1
Lacrosse is a,sport.,lacrosse,none,sport,15,"[-13.516664505004883, -14.521149635314941, -10.310783386230469, -13.709059715270996, -13.486395835876465, -13.720004081726074, -13.598787307739258, -11.069595336914062, -12.939516067504883, -14.03126335144043, -11.353555679321289, -12.043021202087402, -12.436460494995117, -13.791403770446777, -10.520801544189453, -13.240808486938477, -12.125683784484863, -13.659478187561035, -13.547951698303223, -12.870621681213379, -13.201064109802246, -12.032402992248535, -12.930171012878418, -12.27540397644043, -13.569928169250488, -13.901039123535156, -13.317705154418945, -13.194220542907715, -13.459514617919922, -12.81378173828125, -13.48299503326416, -12.94980239868164, -13.386336326599121, -13.846582412719727, -12.95677661895752, -13.596796035766602, -13.339649200439453, -13.186628341674805, -13.51916790008545, -11.74807071685791, -13.415122985839844, -13.838037490844727, -13.176874160766602, -9.843413352966309, -9.89775562286377, -13.286527633666992, -13.371918678283691, -11.710962295532227, -10.785221099853516, -14.602241516113281]",7241732096,mistralai_Mistral-7B-v0.1
Skiing is a,sport.,skiing,none,sport,16,"[-13.25355052947998, -12.79293155670166, -14.323342323303223, -13.545690536499023, -13.415213584899902, -12.535982131958008, -12.640316009521484, -10.493460655212402, -13.857312202453613, -12.781356811523438, -13.094100952148438, -12.934457778930664, -13.780978202819824, -12.298197746276855, -12.442115783691406, -13.348578453063965, -13.147811889648438, -13.367925643920898, -13.279467582702637, -13.418633460998535, -12.15511417388916, -13.770275115966797, -13.41897201538086, -13.340401649475098, -13.088651657104492, -13.737468719482422, -13.11506462097168, -13.206235885620117, -13.457935333251953, -13.722428321838379, -13.461933135986328, -12.688140869140625, -13.928300857543945, -10.533831596374512, -13.49915885925293, -13.369511604309082, -13.480497360229492, -13.209999084472656, -13.95332145690918, -12.852764129638672, -14.08989429473877, -13.489057540893555, -13.511523246765137, -13.74288558959961, -12.650445938110352, -13.310771942138672, -14.19671630859375, -13.418182373046875, -13.300445556640625, -13.356986045837402]",7241732096,mistralai_Mistral-7B-v0.1
